name,latitude,longitude
Zarrentin,54.00,13.19
Zarrentin,53.92,13.75
Zarrentin,53.55,10.91
Zarrenthin,53.93,13.30
Zarrendorf,54.23,13.10
Zarpen,53.86,10.51
Zarow,53.68,13.89
Zarnitz,54.01,13.73
Zarnewenz,53.89,10.91
Zarnewenz,53.89,10.91
Zarnewanz,54.05,12.49
Zarnekow,54.35,13.63
Zarnekow,54.03,12.90
Zarnekow,53.98,13.60
Zarnekow,53.94,11.65
Zarnekow,53.90,12.89
Zarnekla,54.00,13.02
Zarnekau,54.13,10.68
Zargelitz,54.38,13.57
Zarfzow,53.99,11.68
Zarenthin,53.00,12.21
Zarenthien,53.00,10.87
Zarchlin,53.51,12.22
Zappendorf,51.51,11.79
Zappenburg,52.51,10.6
Zapkendorf,53.84,12.31
Zapfendorf,50.01,10.93
Zapel,53.55,11.66
Zapel,53.46,11.15
Zapel,53.17,11.57
Zant,49.37,11.76
Zansham,48.07,12.34
Zansebuhr,54.32,12.94
Zannau,47.68,9.7
Zanklau,48.66,12.68
Zankenhausen,48.10,11.10
Zankendorf,49.43,12.33
Zangenstein,49.39,12.30
Zangenberg,51.07,12.15
Zange,50.79,7.19
Zangberg,48.28,12.43
Zang,48.72,10.07
Zandt,49.24,10.65
Zandt,49.15,12.73
Zandt,48.92,11.49
Zandershagen,54.19,12.92
Zand,51.43,6.26
Zamdorf,48.14,11.64
Zallmsdorf,51.90,12.83
Zaitzkofen,48.83,12.21
Zaitzkofen,48.57,12.26
Zaißing,48.10,12.02
Zaißberg,47.91,12.14
Zaisertshofen,48.12,10.54
Zaisersweiher,49.00,8.86
Zaisering,47.90,12.14
Zaisenhofen,47.77,9.89
Zaisenhausen,49.36,9.83
Zaisenhausen,49.10,8.81
Zaiselham,48.06,12.69
Zainingen,48.48,9.54
Zainhammer,49.97,11.76
Zainen,48.76,8.67
Zainach,47.99,12.15
Zailach,49.34,10.48
Zaiertshofen,48.20,10.28
Zahsow,51.76,14.26
Zähringen,48.02,7.86
Zähringen,48.58,9.98
Zahrensen,53.11,9.76
Zahrensdorf,53.75,11.67
